t,ramp_alpha,dry_run,tilt_trip,reason
8013.795120,1.000000,0,0,"ok"
8013.815168,1.000000,0,0,"ok"
8013.835227,1.000000,0,0,"ok"
8013.855349,1.000000,0,0,"ok"
8013.875158,1.000000,0,0,"ok"
8013.895161,1.000000,0,0,"ok"
8013.915167,1.000000,0,0,"ok"
8013.935176,1.000000,0,0,"ok"
8013.955178,1.000000,0,0,"ok"
8013.975162,1.000000,0,0,"ok"
8013.995161,1.000000,0,0,"ok"
8014.016588,1.000000,0,0,"ok"
8014.035191,1.000000,0,0,"ok"
8014.055161,1.000000,0,0,"ok"
8014.075174,1.000000,0,0,"ok"
8014.095230,1.000000,0,0,"ok"
8014.115153,1.000000,0,0,"ok"
8014.135159,1.000000,0,0,"ok"
8014.155152,1.000000,0,0,"ok"
8014.175149,1.000000,0,0,"ok"
8014.195150,1.000000,0,0,"ok"
8014.215148,1.000000,0,0,"ok"
8014.235166,1.000000,0,0,"ok"
8014.255158,1.000000,0,0,"ok"
8014.275151,1.000000,0,0,"ok"
8014.295144,1.000000,0,0,"ok"
8014.315149,1.000000,0,0,"ok"
8014.335177,1.000000,0,0,"ok"
8014.355071,1.000000,0,0,"ok"
8014.375172,1.000000,0,0,"ok"
8014.395222,1.000000,0,0,"ok"
8014.415154,1.000000,0,0,"ok"
8014.435545,1.000000,0,0,"ok"
8014.455545,1.000000,0,0,"ok"
8014.475149,1.000000,0,0,"ok"
8014.495137,1.000000,0,0,"ok"
8014.515144,1.000000,0,0,"ok"
8014.535170,1.000000,0,0,"ok"
8014.555139,1.000000,0,0,"ok"
8014.575137,1.000000,0,0,"ok"
8014.595131,1.000000,0,0,"ok"
8014.615148,1.000000,0,0,"ok"
8014.635216,1.000000,0,0,"ok"
8014.655139,1.000000,0,0,"ok"
8014.675133,1.000000,0,0,"ok"
8014.695136,1.000000,0,0,"ok"
8014.715077,1.000000,0,0,"ok"
8014.735059,1.000000,0,0,"ok"
8014.755153,1.000000,0,0,"ok"
8014.775126,1.000000,0,0,"ok"
8014.795137,1.000000,0,0,"ok"
8014.815109,1.000000,0,0,"ok"
8014.835156,1.000000,0,0,"ok"
8014.855125,1.000000,0,0,"ok"
8014.875126,1.000000,0,0,"ok"
8014.895143,1.000000,0,0,"ok"
8014.915130,1.000000,0,0,"ok"
8014.935079,1.000000,0,0,"ok"
8014.955125,1.000000,0,0,"ok"
8014.975326,1.000000,0,0,"ok"
8014.995118,1.000000,0,0,"ok"
8015.015122,1.000000,0,0,"ok"
8015.035140,1.000000,0,0,"ok"
8015.055118,1.000000,0,0,"ok"
8015.075189,1.000000,0,0,"ok"
8015.095118,1.000000,0,0,"ok"
8015.115121,1.000000,0,0,"ok"
8015.135124,1.000000,0,0,"ok"
8015.155116,1.000000,0,0,"ok"
8015.175115,1.000000,0,0,"ok"
8015.195114,1.000000,0,0,"ok"
8015.215117,1.000000,0,0,"ok"
8015.235128,1.000000,0,0,"ok"
8015.255116,1.000000,0,0,"ok"
8015.275112,1.000000,0,0,"ok"
8015.295113,1.000000,0,0,"ok"
8015.315116,1.000000,0,0,"ok"
8015.336193,1.000000,0,0,"ok"
8015.355110,1.000000,0,0,"ok"
8015.375108,1.000000,0,0,"ok"
8015.395041,1.000000,0,0,"ok"
8015.415110,1.000000,0,0,"ok"
8015.436375,1.000000,0,0,"ok"
8015.455244,1.000000,0,0,"ok"
8015.475104,1.000000,0,0,"ok"
8015.495113,1.000000,0,0,"ok"
8015.515103,1.000000,0,0,"ok"
8015.535070,1.000000,0,0,"ok"
8015.555103,1.000000,0,0,"ok"
8015.575098,1.000000,0,0,"ok"
8015.595100,1.000000,0,0,"ok"
8015.615116,1.000000,0,0,"ok"
8015.635127,1.000000,0,0,"ok"
8015.655036,1.000000,0,0,"ok"
8015.675108,1.000000,0,0,"ok"
8015.695101,1.000000,0,0,"ok"
8015.715109,1.000000,0,0,"ok"
8015.735698,1.000000,0,0,"ok"
8015.755187,1.000000,0,0,"ok"
8015.775128,1.000000,0,0,"ok"
8015.795093,1.000000,0,0,"ok"
8015.815094,1.000000,0,0,"ok"
8015.835141,1.000000,0,0,"ok"
8015.855094,1.000000,0,0,"ok"
8015.875090,1.000000,0,0,"ok"
