t,qw,qx,qy,qz,wx,wy,wz
8008.275360,-0.455052,0.011454,0.007453,0.890360,-0.002856,-0.004325,0.004057
8008.295805,-0.455050,0.011470,0.007439,0.890361,-0.004869,-0.000147,-0.002846
8008.315584,-0.455055,0.011443,0.007398,0.890359,-0.000821,0.010067,0.000001
8008.335400,-0.455060,0.011363,0.007328,0.890358,-0.003338,0.016403,0.000790
8008.355392,-0.455069,0.011206,0.007222,0.890356,-0.002583,0.019087,0.002099
8008.375301,-0.455074,0.011034,0.007098,0.890357,-0.006925,0.023237,0.001846
8008.395356,-0.455088,0.010808,0.006934,0.890354,0.002153,0.033286,0.002275
8008.416392,-0.455069,0.010571,0.006778,0.890368,-0.004144,0.028617,0.000222
8008.435481,-0.455067,0.010366,0.006614,0.890372,-0.001085,0.030772,-0.008314
8008.455315,-0.455038,0.010139,0.006447,0.890391,-0.004908,0.027535,0.001556
8008.475346,-0.455031,0.009911,0.006280,0.890398,-0.003299,0.024630,-0.006144
8008.495428,-0.455004,0.009727,0.006148,0.890415,-0.003376,0.017732,0.000791
8008.515463,-0.454999,0.009581,0.006042,0.890420,-0.005215,0.015808,-0.002375
8008.535941,-0.454961,0.009448,0.005936,0.890442,-0.000253,0.007413,-0.002636
8008.555350,-0.454952,0.009419,0.005896,0.890446,0.001309,-0.000500,0.005609
8008.575270,-0.454980,0.009442,0.005881,0.890432,-0.001451,0.002333,-0.000766
8008.595368,-0.454964,0.009425,0.005856,0.890441,0.001119,0.007467,0.002925
8008.615364,-0.454992,0.009402,0.005835,0.890427,-0.001616,-0.002723,-0.000993
8008.635346,-0.454968,0.009437,0.005855,0.890438,0.002032,-0.000271,-0.005023
8008.656535,-0.454976,0.009485,0.005908,0.890433,0.004642,-0.009239,-0.002336
8008.675311,-0.454977,0.009560,0.005952,0.890432,0.003093,-0.010868,-0.000203
8008.695292,-0.454970,0.009621,0.006032,0.890434,0.005134,-0.007354,-0.001550
8008.715349,-0.454977,0.009691,0.006097,0.890429,0.005758,-0.011336,-0.000482
8008.735345,-0.454967,0.009761,0.006171,0.890434,0.004374,-0.008981,-0.001019
8008.755339,-0.454944,0.009802,0.006227,0.890444,0.004842,-0.007372,-0.005797
8008.775335,-0.454935,0.009829,0.006280,0.890448,0.005835,-0.003346,-0.001313
8008.795345,-0.454925,0.009773,0.006302,0.890454,0.003227,0.006415,-0.003453
8008.815341,-0.454885,0.009684,0.006311,0.890475,0.002695,0.004790,-0.006363
8008.835335,-0.454863,0.009573,0.006312,0.890488,0.003965,0.009915,-0.000295
8008.855354,-0.454858,0.009364,0.006264,0.890493,0.000950,0.025524,-0.002196
8008.875337,-0.454826,0.009153,0.006215,0.890512,0.001761,0.011154,-0.006122
8008.896266,-0.454800,0.009127,0.006240,0.890525,0.003402,0.008811,-0.005327
8008.915340,-0.454786,0.009059,0.006250,0.890533,0.004048,0.005640,-0.001610
8008.935338,-0.454792,0.008984,0.006276,0.890530,0.007089,0.000941,0.000786
8008.955335,-0.454784,0.008958,0.006338,0.890534,0.005334,-0.003619,0.001884
8008.975332,-0.454793,0.008911,0.006387,0.890530,0.004096,0.004580,0.001862
8008.995378,-0.454792,0.008871,0.006424,0.890530,0.000115,0.001812,-0.005273
8009.015338,-0.454788,0.008898,0.006491,0.890532,0.000364,-0.007190,0.001128
8009.035352,-0.454792,0.008925,0.006551,0.890529,0.003688,-0.001536,0.000291
8009.055328,-0.454802,0.008940,0.006587,0.890523,0.006609,-0.000658,0.001584
8009.075356,-0.454819,0.008876,0.006582,0.890515,-0.002630,0.007894,0.000295
8009.095325,-0.454822,0.008755,0.006550,0.890515,0.001147,0.005868,0.001878
8009.115296,-0.454826,0.008650,0.006538,0.890514,0.005441,0.000865,-0.006110
8009.135575,-0.454782,0.008690,0.006575,0.890536,0.001449,0.004535,0.002673
8009.155287,-0.454805,0.008728,0.006610,0.890524,0.000557,-0.003454,-0.001012
8009.175372,-0.454811,0.008778,0.006651,0.890520,-0.000991,-0.004805,0.005111
8009.195322,-0.454829,0.008781,0.006689,0.890510,0.003600,0.001928,-0.000523
8009.215748,-0.454818,0.008755,0.006713,0.890516,-0.002516,0.001774,-0.000479
8009.235323,-0.454823,0.008721,0.006730,0.890514,0.001185,0.005065,0.004797
8009.255908,-0.454850,0.008625,0.006692,0.890501,-0.001756,0.016160,-0.000273
8009.275358,-0.454849,0.008462,0.006617,0.890504,0.000061,0.016180,-0.004798
8009.295245,-0.454855,0.008281,0.006538,0.890503,0.001257,0.014670,0.005801
8009.315416,-0.454865,0.008160,0.006487,0.890499,-0.002436,0.010284,-0.003159
8009.335273,-0.454865,0.008137,0.006491,0.890499,0.000636,0.005060,0.001604
8009.355323,-0.454865,0.008059,0.006468,0.890500,0.000502,0.009559,-0.003191
8009.375367,-0.454848,0.007978,0.006436,0.890510,0.003787,0.006439,0.000786
8009.395378,-0.454860,0.007915,0.006410,0.890505,0.003714,0.009108,-0.001633
8009.415686,-0.454841,0.007863,0.006407,0.890515,0.005883,0.006757,-0.001087
8009.435318,-0.454845,0.007802,0.006406,0.890513,-0.001437,0.001806,-0.001016
8009.455305,-0.454796,0.007820,0.006453,0.890538,0.001886,-0.005572,-0.004453
8009.475312,-0.454738,0.007860,0.006508,0.890567,0.005312,-0.003912,-0.003697
8009.495358,-0.454718,0.007896,0.006555,0.890576,0.004268,-0.005529,-0.006336
8009.515308,-0.454694,0.007933,0.006595,0.890588,0.004988,-0.001514,-0.002382
8009.535317,-0.454665,0.007960,0.006634,0.890602,0.000822,-0.004266,-0.000734
8009.555320,-0.454654,0.007977,0.006648,0.890608,0.001222,0.002677,0.002142
8009.575311,-0.454642,0.007955,0.006660,0.890614,-0.000672,0.002073,-0.004208
8009.595257,-0.454623,0.007945,0.006646,0.890624,-0.001562,0.004965,-0.006861
8009.615327,-0.454608,0.007913,0.006627,0.890632,-0.001992,0.001515,-0.003402
8009.635309,-0.454599,0.007897,0.006631,0.890637,0.002253,0.002421,-0.001849
8009.655310,-0.454589,0.007873,0.006620,0.890642,-0.001179,0.003412,0.001366
8009.675303,-0.454581,0.007847,0.006615,0.890646,-0.002022,0.004173,-0.000758
8009.695307,-0.454577,0.007816,0.006603,0.890649,0.002502,0.004310,0.000805
8009.715379,-0.454576,0.007767,0.006570,0.890650,0.001953,0.005891,0.001332
8009.736975,-0.454577,0.007731,0.006560,0.890650,0.001593,0.007721,-0.003447
8009.757169,-0.454563,0.007647,0.006512,0.890658,0.003580,0.002988,-0.000259
8009.775303,-0.454548,0.007616,0.006495,0.890666,-0.003114,0.005500,-0.000490
8009.795301,-0.454533,0.007620,0.006477,0.890674,0.001488,0.001599,-0.001039
8009.815286,-0.454519,0.007621,0.006483,0.890681,-0.000836,-0.000842,-0.000212
8009.835929,-0.454519,0.007621,0.006483,0.890681,-0.000836,-0.000842,-0.000212
8009.856112,-0.454485,0.007630,0.006513,0.890698,-0.000048,-0.000277,0.001633
8009.875373,-0.454467,0.007621,0.006514,0.890707,0.000205,-0.000839,-0.003669
8009.895230,-0.454460,0.007613,0.006514,0.890711,0.005002,-0.002049,-0.003437
8009.915351,-0.454449,0.007598,0.006534,0.890716,0.001464,0.002128,-0.002368
8009.935283,-0.454427,0.007592,0.006542,0.890728,-0.000800,-0.002954,0.000321
8009.955976,-0.454413,0.007584,0.006550,0.890735,0.001450,0.003454,-0.002630
8009.975284,-0.454398,0.007598,0.006543,0.890742,0.001464,0.001576,-0.005545
8009.995253,-0.454378,0.007572,0.006537,0.890753,0.000080,0.005031,-0.000259
